Goma	Goma International Airport	GOM	Democratic Republic of the Congo	Africa
Kinshasa	N'djili Airport	FIH	Democratic Republic of the Congo	Africa
Kisangani	Bangoka International Airport	FKI	Democratic Republic of the Congo	Africa
Lubumbashi	Lubumbashi International Airport	FBM	Democratic Republic of the Congo	Africa
Brazzaville	Maya-Maya Airport	BZV	Republic of the Congo	Africa
Pointe-Noire	Pointe Noire Airport	PNR	Republic of the Congo	Africa
Malabo	Malabo International Airport	SSG	Equatorial Guinea	Africa
Franceville	M'Vengue El Hadj Omar Bongo Ondimba International Airport	MVB	Gabon	Africa
Libreville	Libreville International Airport	LBV	Gabon	Africa
Port-Gentil	Port-Gentil International Airport	POG	Gabon	Africa
São Tomé	São Tomé International Airport	TMS	São Tomé and Príncipe	Africa
Bujumbura	Bujumbura International Airport	BJM	Burundi	Africa
Moroni, Comoros	Prince Said Ibrahim International Airport	HAH	Comoros	Africa
Eldoret	Eldoret International Airport	EDL	Kenya	Africa
Mombasa	Moi International Airport	MBA	Kenya	Africa
Kisumu	Kisumu International Airport	KIS	Kenya	Africa
Nairobi	Jomo Kenyatta International Airport	NBO	Kenya	Africa
Plaine Magnien	Sir Seewoosagur Ramgoolam International Airport	MRU	Mauritius	Africa
Saint-Denis	Roland Garros Airport	RUN	Réunion	Africa
Kigali	Kigali International Airport	KGL	Rwanda	Africa
Victoria	Seychelles International Airport	SEZ	Seychelles	Africa
Juba	Juba International Airport	JUB	South Sudan	Africa
Dar es Salaam	Julius Nyerere International Airport	DAR	Tanzania	Africa
Hai District	Kilimanjaro International Airport	JRO	Tanzania	Africa
Unguja, Zanzibar	Abeid Amani Karume International Airport	ZNZ	Tanzania	Africa
Entebbe	Entebbe International Airport	EBB	Uganda	Africa
Djibouti City	Djibouti–Ambouli International Airport	JIB	Djibouti	Africa
Asmara	Asmara International Airport	ASM	Eritrea	Africa
Addis Ababa	Addis Ababa Bole International Airport	ADD	Ethiopia	Africa
Dire Dawa	Aba Tenna Dejazmach Yilma International Airport	DIR	Ethiopia	Africa
Bosaso	Bosaso Airport	BSA	Somalia	Africa
Galkayo	Abdullahi Yusuf Airport	GBY	Somalia	Africa
Garowe	Garowe Airport	GGR	Somalia	Africa
Hargeisa	Hargeisa Airport	HGA	Somalia	Africa
Kismayo	Kismayo Airport	KMU	Somalia	Africa
Mogadishu	Aden Adde International Airport	MGQ	Somalia	Africa
Adrar	Touat-Cheikh Sidi Mohamed Belkebir Airport	AZR	Algeria	Africa
Algiers	Houari Boumedienne Airport	ALG	Algeria	Africa
Annaba	Rabah Bitat Airport	AAE	Algeria	Africa
Batna	Batna Airport	BLJ	Algeria	Africa
Bejaia	Soummam Airport	BJA	Algeria	Africa
Oumache	Biskra Airport	BSK	Algeria	Africa
Chlef	Chlef International Airport	CFK	Algeria	Africa
Constantine	Mohamed Boudiaf Airport	CZL	Algeria	Africa
Hassi Messaoud	Oued Irara Airport	HME	Algeria	Africa
Jijel	Jijel Ferhat Abbas Airport	GJL	Algeria	Africa
Oran	Oran Es Senia Airport	ORN	Algeria	Africa
Sétif	Ain Arnat Airport	QSF	Algeria	Africa
Tamanrasset	Tamanrasset Airport	TMR	Algeria	Africa
Tlemcen	Zenata Airport	TLM	Algeria	Africa
N'Djamena	N'Djamena International Airport	NDJ	Chad	Africa
Alexandria	Borg El Arab Airport	HBE	Egypt	Africa
Alexandria	Alexandria International Airport	ALY	Egypt	Africa
Asyut	Assiut Airport	ATZ	Egypt	Africa
Aswan	Aswan International Airport	ASW	Egypt	Africa
Cairo	Cairo International Airport	CAI	Egypt	Africa
El Arish	El Arish International Airport	AAC	Egypt	Africa
El Dabaa	Al Alamain International Airport	DBB	Egypt	Africa
Hurghada	Hurghada International Airport	HRG	Egypt	Africa
Luxor	Luxor International Airport	LXR	Egypt	Africa
Marsa Alam	Marsa Alam International Airport	RMF	Egypt	Africa
Mersa Matruh	Mersa Matruh Airport	MUH	Egypt	Africa
Saint Catherine	St. Catherine International Airport	SKV	Egypt	Africa
Sharm el-Sheikh	Sharm el-Sheikh International Airport	SSH	Egypt	Africa
Sohag	Sohag International Airport	HMB	Egypt	Africa
Taba	Taba International Airport	TCP	Egypt	Africa
Benghazi	Benina International Airport	BEN	Libya	Africa
Sabha	Sebha Airport	SEB	Libya	Africa
Tripoli	Tripoli International Airport	TIP	Libya	Africa
Tajoura	Mitiga International Airport	MJI	Libya	Africa
Agadir	Al Massira Airport	AGA	Morocco	Africa
