Wyoming,1890-07-10T00:00:00Z,WY,Cheyenne,Point(-107.5 43.0),Matt Mead,253348,2--787,America/Denver,http://wyoming.gov,
Wisconsin,1848-05-29T00:00:00Z,WI,Madison,Point(-89.5 44.5),Scott Walker,169640,2--7750,America/Chicago,http://www.wisconsin.gov,
West Virginia,1863-06-20T00:00:00Z,WV,Charleston,Point(-80.5 39.0),Earl Ray Tomblin,62755,2--754,America/New York,http://wv.gov,
Virginia,1788-06-25T00:00:00Z,VA,Richmond,Point(-79.0 37.5),Terry McAuliffe,110862,2--755,America/New York,https://www.virginia.gov/,Elizabeth I of England
Vermont,1791-03-04T00:00:00Z,VT,Montpelier,Point(-72.7 44.0),Peter Shumlin,24923,2--743,America/New York,http://www.vermont.gov,
Utah,1896-01-04T00:00:00Z,UT,Salt Lake City,Point(-111.5 39.5),Gary Herbert,219653,2--792,America/Denver,http://www.utah.gov,human
Texas,1845-12-29T00:00:00Z,TX,Austin,Point(-100.0 31.0),Greg Abbott,696241,2--764,America/Chicago,http://www.texas.gov/,Caddo
Tennessee,1796-06-01T00:00:00Z,TN,Nashville,Point(-86.0 36.0),Bill Haslam,109247,2--768,America/New York,http://www.tennessee.gov,Tanasi
South Dakota,1889-11-02T00:00:00Z,SD,Pierre,Point(-100.0 44.5),Dennis Daugaard,199729,2--783,America/Chicago,http://www.sd.gov,Dakota people
South Carolina,1788-05-23T00:00:00Z,SC,Columbia,Point(-81.0 34.0),Henry McMaster,82931,2--757,America/New York,http://www.sc.gov,Charles I of England
Rhode Island,1790-05-29T00:00:00Z,RI,Providence,Point(-71.5 41.7),Lincoln Chafee,3144.245565,2--745,America/New York,http://www.ri.gov,
Pennsylvania,1787-12-12T00:00:00Z,PA,Harrisburg,Point(-77.5 41.0),Tom Wolf,119283,2--748,America/New York,http://www.pa.gov,William Penn
Oregon,1859-02-14T00:00:00Z,OR,Salem,Point(-120.575 43.935833),Kate Brown,255026,2--795,America/Los Angeles,http://www.oregon.gov,
Oklahoma,1907-11-16T00:00:00Z,OK,Oklahoma City,Point(-98.0 35.5),Mary Fallin,181195,2--766,America/Chicago,http://www.ok.gov,
Ohio,1803-03-01T00:00:00Z,OH,Columbus,Point(-82.5 40.5),John Kasich,116096,2--771,America/New York,http://www.ohio.gov,Ohio River
North Dakota,1889-11-02T00:00:00Z,ND,Bismarck,Point(-100.5 47.5),Jack Dalrymple,183108,2--784,America/Chicago,http://www.nd.gov,Dakota people
North Carolina,1789-11-21T00:00:00Z,NC,Raleigh,Point(-80.0 35.5),Roy Cooper,139390,2--756,America/New York,http://www.nc.gov,Charles I of England
New York,1788-07-26T00:00:00Z,NY,Albany,Point(-75.0 43.0),Andrew Cuomo,141300,2--747,America/New York,http://www.ny.gov/,James VII and II
New Mexico,1912-01-06T00:00:00Z,NM,Santa Fe,Point(-106.0 34.0),Susana Martinez,315194,2--789,America/Denver,http://www.newmexico.gov,Santa Fe de Nuevo México
New Jersey,1787-12-18T00:00:00Z,NJ,Trenton,Point(-74.5 40.0),Chris Christie,22591.4,2--749,America/New York,http://www.nj.gov,Jersey
